sponsor,type,email,phone,previous_deal
Nike,Goodies,nike@example.com,+91 9898363968,Prize money of 2L
Wildcraft,Goodies,wildcraft@example.com,+91 8800058415,Sponsored technical equipment
Safari,Goodies,safari@example.com,+91 8735766764,Prize money of 2L
Skybags,Goodies,skybags@example.com,+91 6621100953,Sponsored trophy
Rajhans Trophies,Trophy,rajhanstrophies@example.com,+91 9131914422,20k for publicity and top sponsor
Crystal Craft,Trophy,crystalcraft@example.com,+91 6868783908,500 cans for publicity
Shining Awards,Trophy,shiningawards@example.com,+91 8549303765,Sponsored technical equipment
GoldLeaf Trophies,Trophy,goldleaftrophies@example.com,+91 9521059156,1 lakh sponsorship
Glory Awards,Trophy,gloryawards@example.com,+91 6831991508,50% discount for event
TCS,Technical,tcs@example.com,+91 9351705301,1 lakh sponsorship
Infosys,Technical,infosys@example.com,+91 9395274004,20k for publicity and top sponsor
Wipro,Technical,wipro@example.com,+91 7188105759,500 cans for publicity
HCL,Technical,hcl@example.com,+91 7523140228,50% discount for event
Tech Mahindra,Technical,techmahindra@example.com,+91 6053125225,50 jerseys for players
Cognizant,Technical,cognizant@example.com,+91 8215821642,Sponsored technical equipment
Mindtree,Technical,mindtree@example.com,+91 8070760677,Sponsored technical equipment
LTI,Technical,lti@example.com,+91 6241284474,Sponsored trophy
Tata Motors,Automobile,tatamotors@example.com,+91 7055386739,50 jerseys for players
Maruti Suzuki,Automobile,marutisuzuki@example.com,+91 9327845052,None
Mahindra,Automobile,mahindra@example.com,+91 8198871383,Prize money of 2L
Hero,Automobile,hero@example.com,+91 8218263680,50 jerseys for players
Bajaj,Automobile,bajaj@example.com,+91 9248117610,50 jerseys for players
Hyundai,Automobile,hyundai@example.com,+91 8251011522,None
Kia Motors,Automobile,kiamotors@example.com,+91 7262311650,None
Royal Enfield,Automobile,royalenfield@example.com,+91 7080408981,50 jerseys for players
Skoda,Automobile,skoda@example.com,+91 7561138348,Sponsored trophy
Jio,Telecom,jio@example.com,+91 6538742937,50 jerseys for players
Airtel,Telecom,airtel@example.com,+91 6900971135,Sponsored technical equipment
Vi,Telecom,vi@example.com,+91 8770105525,20k for publicity and top sponsor
BSNL,Telecom,bsnl@example.com,+91 9550928767,50% discount for event
MTNL,Telecom,mtnl@example.com,+91 6989852298,None
Vodafone Idea,Telecom,vodafoneidea@example.com,+91 8335913318,50% discount for event
ACT Fibernet,Telecom,actfibernet@example.com,+91 6608159399,Sponsored technical equipment
Excitel,Telecom,excitel@example.com,+91 7373462982,Sponsored technical equipment
Spectra,Telecom,spectra@example.com,+91 6375905894,Sponsored trophy
Zee,Media,zee@example.com,+91 7844551603,Sponsored technical equipment
Sony,Media,sony@example.com,+91 7542168697,500 cans for publicity
Star,Media,star@example.com,+91 8802203135,500 cans for publicity
NDTV,Media,ndtv@example.com,+91 6191532585,1 lakh sponsorship
Times Group,Media,timesgroup@example.com,+91 7855669622,20k for publicity and top sponsor
Disney+ Hotstar,Media,disney+hotstar@example.com,+91 6677038452,50 jerseys for players
Sony LIV,Media,sonyliv@example.com,+91 6921104605,None
Aaj Tak,Media,aajtak@example.com,+91 6496247062,50% discount for event
Network18,Media,network18@example.com,+91 9811604002,20k for publicity and top sponsor
